Pathogen	Kindom	Phylum	Class	Order	Family	Genus	Species	Gram stain	Host	Biosafety level	Disease
Shewanella putrefaciens	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella putrefaciens	-	Arthropod;Human;Vertebrate	BSL-2	
Borreliella burgdorferi	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi	-	Arthropod;Environment;Human;Rodent	BSL-2	Blood
Borrelia hermsii	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia hermsii	-	Human;Rodent	null	
Treponema pallidum	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	-	Human;Primate	BSL-2	Digestive system;Reproductive system
Leptospira interrogans	Bacteria	Spirochaetota	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	Leptospira interrogans	-	Amphibian;Human;Mammal;Rodent	BSL-2	
Campylobacter coli	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli	-	Birds;Human;Mammal;Primate	BSL-2	Blood;Digestive system;Reproductive system
Campylobacter fetus	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter fetus	-	Human;Mammal;Plant;Primate;Reptile	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Immune system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Campylobacter jejuni	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni	-	Birds;Food;Human;Mammal;Primate;Rodent	BSL-2	Blood;Central nervous system;Digestive system;Oncology;Reproductive system;Skin/Soft tissue;Urinary system
Campylobacter hyointestinalis	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter hyointestinalis	-	Human;Mammal	BSL-2	
Campylobacter concisus	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus	-	Human	BSL-2	Digestive system
Campylobacter curvus	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter curvus	-	Human	BSL-2	
Campylobacter lari	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter lari	-	Birds;Human;Mammal;Vertebrate	BSL-2	Digestive system
Campylobacter sputorum	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter sputorum	-	Human;Mammal	BSL-2	
Helicobacter pylori	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	-	Human;Mammal;Primate;Rodent	BSL-2	Digestive system;Eye/Ear/Oral/Nasal;Immune system
Helicobacter cinaedi	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter cinaedi	-	Birds;Human;Mammal;Rodent	BSL-2	Blood;Digestive system
Brucella abortus	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella abortus	-	Human;Mammal;Rodent	BSL-3	Blood;Reproductive system
Elizabethkingia meningoseptica	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Elizabethkingia	Elizabethkingia meningoseptica	-	Human	BSL-2	Blood;Cardiovascular system;Central nervous system;Oncology
Chryseobacterium gleum	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium gleum	null	Human	BSL-2	Respiratory system
Chryseobacterium indologenes	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium indologenes	null	Birds;Human;Vertebrate	BSL-2	Reproductive system;Respiratory system;Urinary system
Myroides odoratus	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides	Myroides odoratus	-	Human	null	
Francisella tularensis	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis	-	Arthropod;Human;Insect;Mammal;Primate;Rodent;Vertebrate	BSL-3	Eye/Ear/Oral/Nasal
Pseudomonas aeruginosa	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	-	Arthropod;Birds;Environment;Fungi;Human;Insect;Mammal;Plant;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Immune system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Burkholderia cepacia	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cepacia	-	Environment;Human;Plant	BSL-2	Respiratory system
Pseudomonas putida	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	-	Arthropod;Birds;Fungi;Human;Mammal;Plant	BSL-2	Blood;Bone/Joint;Digestive system;Respiratory system;Urinary system
Ralstonia pickettii	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia pickettii	-	Human	null	Blood
Burkholderia glumae	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia glumae	-	Environment;Human	BSL-1	
Legionella pneumophila	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	-	Environment;Human	BSL-2	Blood;Respiratory system
Legionella bozemanae	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella bozemanae	-	Human	BSL-2	
Legionella longbeachae	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella longbeachae	-	Human	BSL-2	Respiratory system
Legionella jordanis	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella jordanis	-	Human	BSL-2	
Acinetobacter baumannii	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	-	Birds;Environment;Human;Insect;Mammal;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Moraxella nonliquefaciens	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella	Moraxella nonliquefaciens	-	Human	BSL-2	Eye/Ear/Oral/Nasal
Moraxella catarrhalis	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Moraxella	Moraxella catarrhalis	-	Human	BSL-2	Eye/Ear/Oral/Nasal;Respiratory system
Neisseria cinerea	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria cinerea	-	Human	BSL-1	
Neisseria flavescens	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria flavescens	-	Human	BSL-2	Digestive system
Neisseria gonorrhoeae	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria gonorrhoeae	-	Human	BSL-2	Digestive system;Eye/Ear/Oral/Nasal;Reproductive system;Urinary system
Neisseria meningitidis	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria meningitidis	-	Environment;Human	BSL-2	Blood;Central nervous system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Neisseria mucosa	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	Neisseria mucosa	-	Human	BSL-2	Respiratory system
Kingella kingae	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	Kingella kingae	-	Human	BSL-2	Bone/Joint
Alcaligenes faecalis	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes faecalis	-	Birds;Human	null	Blood
Bordetella bronchiseptica	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella bronchiseptica	-	Birds;Human;Mammal;Rodent	BSL-2	Eye/Ear/Oral/Nasal;Respiratory system
Bordetella parapertussis	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella parapertussis	-	Human	BSL-2	Respiratory system
Bordetella pertussis	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella pertussis	-	Human	BSL-2	Digestive system;Respiratory system
Brucella anthropi	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella anthropi	-	Human;Plant;Reptile	BSL-3	Blood
Eikenella corrodens	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Eikenella	Eikenella corrodens	-	Human	BSL-2	Bone/Joint;Eye/Ear/Oral/Nasal
Citrobacter koseri	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter koseri	-	Environment;Human;Mammal;Rodent	BSL-2	Blood;Bone/Joint;Central nervous system;Digestive system;Respiratory system;Skin/Soft tissue;Urinary system
Citrobacter freundii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter freundii	-	Amphibian;Birds;Environment;Human;Insect;Mammal;Plant;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Immune system;Oncology;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Klebsiella aerogenes	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella aerogenes	-	Arthropod;Birds;Human;Mammal;Vertebrate	BSL-2	Blood;Bone/Joint;Central nervous system;Digestive system;Immune system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Pantoea agglomerans	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea agglomerans	-	Human;Mammal;Plant;Reptile	BSL-3	
Enterobacter cloacae	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter cloacae	-	Arthropod;Birds;Human;Mammal;Plant;Primate	BSL-3	Blood;Bone/Joint;Digestive system;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Escherichia coli	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	-	Amphibian;Arthropod;Birds;Environment;Food;Human;Insect;Mammal;Mollusc;Plant;Primate;Reptile;Rodent;Vertebrate	BSL-2	Blood;Bone/Joint;Cardiovascular system;Central nervous system;Digestive system;Endocrine system;Eye/Ear/Oral/Nasal;Immune system;Oncology;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
Escherichia fergusonii	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia fergusonii	-	Birds;Human;Mammal	null	Digestive system
Hafnia alvei	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia alvei	-	Environment;Human;Mammal	BSL-2	
Klebsiella oxytoca	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella oxytoca	-	Birds;Human;Insect;Mammal;Rodent	BSL-2	Blood;Central nervous system;Digestive system;Eye/Ear/Oral/Nasal;Reproductive system;Respiratory system;Skin/Soft tissue;Urinary system
